id,artist,track,album_id,imgUrl
3KeVHx19HwWzDGemwEOVoA,Genesis,Turn It On Again - Remastered 2007,1FFpEn1rjlucjU5L5JXggy,https://i.scdn.co/image/ab67616d00004851e16d399131c018066be78b95
5uDu2qOoDou7cFXsipAo8l,Frank Zappa,Peaches En Regalia,0WYYrC9My9rYWigac003hw,https://i.scdn.co/image/ab67616d00004851ee314008c5ae6e98904ebfe0
5RF3XKTeCfwX8C0TeHuF5s,King Crimson,Cadence and Cascade,4dgsjsPIogKXhFlPZSYjvT,https://i.scdn.co/image/ab67616d00004851e76e3b1e100a5a5a054a3130
0AexJBBZDxjqeQudgQlFG7,King Crimson,One More Red Nightmare,13dGZzRzFoejmyVXAbTPAH,https://i.scdn.co/image/ab67616d000048510960f0681fc6e31fdc55cc43
32GKpDMBMNQI3FdXlFFsMD,King Crimson,"Moonchild - Including ""The Dream"" and ""The Illusion""",6tVg2Wl9hVKMpHYcAl2V2M,https://i.scdn.co/image/ab67616d0000485146d124df5651c307aee255fd
5Ahcvq8xtnJxCfm9jtpURO,King Crimson,In The Wake Of Poseidon,4dgsjsPIogKXhFlPZSYjvT,https://i.scdn.co/image/ab67616d00004851e76e3b1e100a5a5a054a3130
50wBqWRllO7k8GojEI7gbn,King Crimson,Red,1Tbsq8NynaMCYdz33nsfZH,https://i.scdn.co/image/ab67616d000048517f7377025ec54298a8a241fd
2vaWYMsPV9xSYy4wAQ5dcJ,King Crimson,Peace - A Theme,4dgsjsPIogKXhFlPZSYjvT,https://i.scdn.co/image/ab67616d00004851e76e3b1e100a5a5a054a3130
5FPPVJlSnq6Vachf43VGWk,Jethro Tull,The Witch's Promise,4xOhK9LXV4Kz4VI1N7lOSO,https://i.scdn.co/image/ab67616d00004851af2da8ad38c25ef67c29f171
5AhyxWDDMvc3l7vttW68Al,Jethro Tull,Songs from the Wood - 2003 Remaster,3hqr2lQ7zQdnyguyuID177,https://i.scdn.co/image/ab67616d000048513af8c61026e278d673f982ff
5lfcrw8vud35shmnanJfxG,Jethro Tull,The Poet and the Painter - Steven Wilson Stereo Remix,37Zms3u6Da41sizguIcn6M,https://i.scdn.co/image/ab67616d00004851ac3a8af2b259525f9f0034df
6H3kDe7CGoWYBabAeVWGiD,The Rolling Stones,Gimme Shelter,4l4u9e9jSbotSXNjYfOugy,https://i.scdn.co/image/ab67616d000048512af30c881bb23cfb82a8cf99
58xdZzSTNgap8a7CEckA9b,35007,2225,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
5aIVCx5tnk0ntmdiinnYvw,35007,Water,22sXXkKgjEuawIFL1e1tRw,https://i.scdn.co/image/ab67616d00004851d20231861e86a6f74ef2393e
24ENYWfpbnIOGKDW11pXCJ,35007,The Elephant Song,341icYyO50W0ImXNyo3fdw,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612
2AcKnehihCFvnzXtr89qxZ,35007,0618,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
1eqGaMI4wbEmhZDfJWUSNV,Mick Jagger,Old Habits Reprise,4gdhL28kzPrU3AJNWiEjTH,https://i.scdn.co/image/ab67616d000048518ec32541b0e796a19ae9d662
0AOwMIY6XB78tGUDu37wXY,Mick Jagger,"Strange Game - From The ATV+ Original Series ""Slow Horses”",7IyUf9P0bOKXbhAl2cWOMo,https://i.scdn.co/image/ab67616d0000485118c46cf460976bfa72d93faf
39NvPJmm0CwBguI0MsY9yv,Mick Jagger,Lonely At The Top,0xJYbTxo4DMYSHkC7iSqPB,https://i.scdn.co/image/ab67616d00004851ddd7bf3128402ae651f5f485
3ejjvP4oU6RoyiK9xZ5lwU,Michael Jackson,Beat It / State of Shock - Immortal Version,5ReKddpdZKgpVlecQhLnEH,https://i.scdn.co/image/ab67616d0000485142d5a048a254a1ca50e85715
19oKMA6GlnAWpYCSSMhsG1,Mick Jagger,Kow Tow,3aIfmvaTkLZ0WzWZag3gVi,https://i.scdn.co/image/ab67616d000048516f55ca2b048159c620449784
5sn8kTcYEFZ0QcnYKEi9Qc,will.i.am,T.H.E (The Hardest Ever),3BoVnvCLPREk5YFAgKzNDD,https://i.scdn.co/image/ab67616d0000485173497a68c74e06372a3c0c72
3bvz0G5xP5CGaflORIIEH2,Mick Jagger,If Things Could Be Different,6m3UieF1C2hUwWULHkNJDG,https://i.scdn.co/image/ab67616d00004851633dd9b4c2d00f8cd7fa8e05
5XWhwopIR6PLA4jBwnd0S5,Mick Jagger,Charmed Life,3pNhYtUTKu97Y2rM25rrIr,https://i.scdn.co/image/ab67616d00004851311eb94fb9ccedc5d1d1e326
2nx3Gx5PEyDS9NHAvRmOiU,Mick Jagger,Visions Of Paradise,7r7cyCCx4eNRCqQxzk79Rt,https://i.scdn.co/image/ab67616d00004851a196f9a07530702c5230a896
3FZuZot3AXQVXaTlPWpzCc,Brad Paisley,Drive of Shame (feat. Mick Jagger),43xH1kPS7aNKc2WJtUHRAs,https://i.scdn.co/image/ab67616d0000485136e7e4018ed32aca78845d49
7vJaNv4ItDyYXXCVRJreh6,Mick Jagger,Let's Work,7CZCDYdgJPRzRAHk91SJGh,https://i.scdn.co/image/ab67616d0000485103734cc395470357196c07f4
