danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0.368,0.641,6,-14.848,1,0.0537,0.141,0.193,0.769,0.393,134.008,audio_features,6Qsb5YStbf0bAvgGf4w1Cg,spotify:track:6Qsb5YStbf0bAvgGf4w1Cg,https://api.spotify.com/v1/tracks/6Qsb5YStbf0bAvgGf4w1Cg,https://api.spotify.com/v1/audio-analysis/6Qsb5YStbf0bAvgGf4w1Cg,356733,3,"No Money, No Tolerance",Jasper van't Hofs Pili Pili,2260,2023-12-06 09:14:00
0.481,0.906,9,-3.705,1,0.0349,0.334,0.603,0.043,0.364,127.955,audio_features,2iW5uc25ziGLlNMqdhFJad,spotify:track:2iW5uc25ziGLlNMqdhFJad,https://api.spotify.com/v1/tracks/2iW5uc25ziGLlNMqdhFJad,https://api.spotify.com/v1/audio-analysis/2iW5uc25ziGLlNMqdhFJad,184960,4,Listen to Her Heart,Tom Petty and the Heartbreakers,53418,2023-12-06 09:14:00
0.515,0.745,11,-9.708,1,0.0366,0.0468,0.00978,0.046,0.831,149.742,audio_features,0D6jKXU9P2Fim9xy9JInyN,spotify:track:0D6jKXU9P2Fim9xy9JInyN,https://api.spotify.com/v1/tracks/0D6jKXU9P2Fim9xy9JInyN,https://api.spotify.com/v1/audio-analysis/0D6jKXU9P2Fim9xy9JInyN,308667,3,Uneven Image,Jasper van't Hofs Pili Pili,152405,2023-12-06 09:37:00
0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,audio_features,2tAeN2TKlQLOoSPXtARzBV,spotify:track:2tAeN2TKlQLOoSPXtARzBV,https://api.spotify.com/v1/tracks/2tAeN2TKlQLOoSPXtARzBV,https://api.spotify.com/v1/audio-analysis/2tAeN2TKlQLOoSPXtARzBV,102080,4,Eruption - 2015 Remaster,Van Halen,35312,2023-12-06 14:09:00
0.479,0.909,2,-7.404,1,0.0716,9.07e-05,0.758,0.634,0.278,111.892,audio_features,7q84UlknHb4sIThLIERiVK,spotify:track:7q84UlknHb4sIThLIERiVK,https://api.spotify.com/v1/tracks/7q84UlknHb4sIThLIERiVK,https://api.spotify.com/v1/audio-analysis/7q84UlknHb4sIThLIERiVK,310467,4,Leafy Meadows,John Paul Jones,3866,2023-12-06 14:09:00
0.485,0.108,0,-21.938,0,0.0327,0.912,0.971,0.0964,0.619,88.993,audio_features,40RU8OpIByeyV1nfploNJY,spotify:track:40RU8OpIByeyV1nfploNJY,https://api.spotify.com/v1/tracks/40RU8OpIByeyV1nfploNJY,https://api.spotify.com/v1/audio-analysis/40RU8OpIByeyV1nfploNJY,95520,4,Taranaki,Nucleus,1725,2023-12-06 14:10:00
0.495,0.493,7,-10.018,1,0.0492,0.000224,0.504,0.534,0.281,141.251,audio_features,3xjajrcON3jv5s2psLKGs4,spotify:track:3xjajrcON3jv5s2psLKGs4,https://api.spotify.com/v1/tracks/3xjajrcON3jv5s2psLKGs4,https://api.spotify.com/v1/audio-analysis/3xjajrcON3jv5s2psLKGs4,337160,4,DON'T SAY NO - 2017 Remaster,"Speed, Glue & Shinki",2516,2023-12-06 14:10:00
0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,audio_features,6ursmCnbc9oDRGa2yHKkoZ,spotify:track:6ursmCnbc9oDRGa2yHKkoZ,https://api.spotify.com/v1/tracks/6ursmCnbc9oDRGa2yHKkoZ,https://api.spotify.com/v1/audio-analysis/6ursmCnbc9oDRGa2yHKkoZ,212253,4,Roots,Ian Carr,3271,2023-12-06 14:10:00
0.496,0.572,9,-9.65,1,0.0354,0.517,0.11,0.402,0.295,124.394,audio_features,7FhKuFopFs9DZqocoHOvVs,spotify:track:7FhKuFopFs9DZqocoHOvVs,https://api.spotify.com/v1/tracks/7FhKuFopFs9DZqocoHOvVs,https://api.spotify.com/v1/audio-analysis/7FhKuFopFs9DZqocoHOvVs,474000,4,Green Sugar,Kikagaku Moyo,2472,2023-12-06 14:10:00
0.426,0.322,0,-13.132,1,0.116,0.835,0.907,0.108,0.182,87.365,audio_features,2ZKtFwVxK2kf7UCJ0ibJTL,spotify:track:2ZKtFwVxK2kf7UCJ0ibJTL,https://api.spotify.com/v1/tracks/2ZKtFwVxK2kf7UCJ0ibJTL,https://api.spotify.com/v1/audio-analysis/2ZKtFwVxK2kf7UCJ0ibJTL,245944,4,Song of Injured Love - 2022 Remastered Version,Gábor Szabó,5034,2023-12-06 14:32:00
