,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist,imgUrl,album_id,track_id
16,0.83,0.611,7,-6.811,1,0.0333,0.476,0.00096,0.297,0.791,127.051,audio_features,183187,4,The Good Thing - 2005 Remaster,Talking Heads,https://i.scdn.co/image/ab67616d00004851b7307213fae24e3fbcbe46aa,01RJdKvXyz515O37itqMIJ,5KRtiPYvYDqE8MysJmDOut
17,0.508,0.494,6,-11.111,1,0.0468,0.117,1.98e-05,0.113,0.548,103.951,audio_features,215627,4,Songs Of Yesterday,Free,https://i.scdn.co/image/ab67616d00004851640df56fe46cd51896a00810,2yZXtlCUGjaOYBGc9qqeay,7jYXoudEWfERVDFZHM8Nfw
18,0.24,0.824,9,-8.298,0,0.0773,0.00723,0.0503,0.33,0.525,160.218,audio_features,156333,4,Easy Living,Miles Davis Quintet,https://i.scdn.co/image/ab67616d00004851694e9db0a8c0076951f16289,6QNUsyQxf8merg8Sv696aI,3QHeOALQbMukSiCWQrP2b0
19,0.251,0.392,0,-18.917,1,0.0429,0.987,0.91,0.275,0.242,69.922,audio_features,237427,4,"Take the 'A' Train - Solo Piano, 1977",Sun Ra,https://i.scdn.co/image/ab67616d00004851a866bf8115d970f712689b9f,7ltP9Xs5kp49jCxeTuCqbG,0y66IJhDRZFaPXb3jDGAKb
20,0.287,0.0132,5,-23.891,1,0.0353,0.974,0.73,0.117,0.0398,73.26,audio_features,164067,4,The Tao Of Love,Vangelis,https://i.scdn.co/image/ab67616d000048515384bf347b55764c7876d235,6YrHsp2x5GRxEZJXwDwXGz,3SMBkwzUjtKuNHTJFuIdec
21,0.364,0.705,4,-7.759,1,0.0269,0.132,5.13e-05,0.14,0.552,153.357,audio_features,303347,4,Thief,CAN,https://i.scdn.co/image/ab67616d00004851d653399b11a72ca4afd90c0b,6UMKSuf44yHiRGgkMqqa52,7ilBHhMSE7XYvDf2gLx1NP
22,0.58,0.551,9,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,audio_features,201213,4,Just Dropped In (To See What Condition My Condition Was In),The First Edition,https://i.scdn.co/image/ab67616d0000485191a87b5bd84eecfd0eddb1ed,6LZ7MMxdYNUA56kBnqQ6h6,4Wrc3Jz4POj0ibPj5iuq0r
23,0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,audio_features,172400,4,Mr. Soul,Buffalo Springfield,https://i.scdn.co/image/ab67616d0000485108332e0b0aba8467f891d76f,7hez8jibf36E66GHpFkWz7,042v1NacbKJzCyi6nBme7T
24,0.393,0.364,5,-10.945,0,0.0345,0.0021,0.0703,0.121,0.308,118.566,audio_features,444148,3,Since I've Been Loving You - Remaster,Led Zeppelin,https://i.scdn.co/image/ab67616d0000485190a50cfe99a4c19ff3cbfbdb,6P5QHz4XtxOmS5EuiGIPut,1SDiiE3v2z89VxC3aVRKHQ
25,0.867,0.656,11,-9.019,0,0.041,0.0572,0.819,0.406,0.947,123.654,audio_features,345573,4,Moon Rocks - 2005 Remaster,Talking Heads,https://i.scdn.co/image/ab67616d00004851e35e2e2a4bfa8a30a78fc532,4sLCQxMRfn3gAHrBNZtbTH,1jDit1o3MxkQxFDVNdYX9v
26,0.729,0.687,4,-10.06,1,0.0996,0.135,0.44,0.114,0.481,162.063,audio_features,375147,3,Song for Boudiaf,Hamid Baroudi,https://i.scdn.co/image/ab67616d00004851b45411014766de87c08aa739,0Y0bEGAD1vkKyeRj2S4tIP,3GKBhj2gVIruNyyqSWK9gq
27,0.723,0.818,7,-5.946,1,0.0366,0.138,0.748,0.218,0.894,135.122,audio_features,285613,4,Crosseyed and Painless - 2005 Remaster,Talking Heads,https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557,3AQgdwMNCiN7awXch5fAaG,0yhwdmbgkKdE1plV8xWdrd
28,0.71,0.558,10,-8.148,1,0.0307,0.166,0.00121,0.237,0.834,111.152,audio_features,333387,4,The Big Country - 2005 Remaster,Talking Heads,https://i.scdn.co/image/ab67616d00004851b7307213fae24e3fbcbe46aa,01RJdKvXyz515O37itqMIJ,6jvNnYLscndCf0fPJB1pms
29,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,audio_features,226706,4,Alpha,Vangelis,https://i.scdn.co/image/ab67616d00004851c867681ddaff9580f6d2b81b,7M2EhhKnJYcmluPNzmB35N,1qkp9OvCk8FjeDdEd2bKQ6
30,0.398,0.392,7,-9.05,1,0.0282,0.207,0.0,0.102,0.378,184.267,audio_features,129120,3,You've Got To Hide Your Love Away - Remastered 2009,The Beatles,x,x,x
