endTime,artistName,trackName,msPlayed
2023-12-11 06:38,Irmin Schmidt,Le Weekend,288666
2023-12-11 06:40,The Velvet Underground,I'm Waiting For The Man,1183
2023-12-11 06:40,CAN,Moonshake,15442
2023-12-11 06:40,Scott Walker,30 Century Man,35350
2023-12-11 06:42,Tom Waits,Clap Hands - 2023 Remaster,5440
2023-12-11 06:57,PJ Harvey,You Said Something,198733
2023-12-11 07:01,Arlo Guthrie,St. James Infirmary - Live,239626
2023-12-11 07:06,"Earth, Wind & Fire",Got to Get You Into My Life,243106
2023-12-11 07:11,Ginger Baker,Brain Damage,289333
2023-12-11 07:16,The Budos Band,Up From the South,206693
2023-12-11 07:21,John Paul Jones,Leafy Meadows,310466
2023-12-11 07:26,PJ Harvey,This Is Love,226666
2023-12-11 07:31,Eddie Vedder,Hard Sun,322080
2023-12-11 07:37,Radiohead,I Might Be Wrong,425
2023-12-11 07:37,Tamikrest,Tisnant an Chatma,290800
2023-12-11 07:37,The Who,The Seeker - Original Single A-Side Mix,29479
2023-12-11 07:37,Queens of the Stone Age,Make It Wit Chu,707
2023-12-11 07:42,Corey Harris,Coahoma,109066
2023-12-11 07:43,Wilco,"Jesus, Etc. - 2022 Remaster",1154
2023-12-11 07:43,The White Stripes,I Just Don't Know What to Do With Myself,2431
2023-12-11 07:43,Sharon Jones & The Dap-Kings,Tell Me,1195
2023-12-11 07:46,The Budos Band,Ghost Walk,130973
2023-12-11 07:47,Eddie Vedder,Setting Forth,97866
2023-12-11 07:50,The White Stripes,Blue Orchid,157560
2023-12-11 07:53,Eagles Of Death Metal,Wannabe in L.A,135853
2023-12-11 07:55,MGMT,Congratulations,114612
2023-12-11 08:05,Rush,La Villa Strangiato,8151
2023-12-11 12:24,PJ Harvey,Electric Light,3744
2023-12-11 12:24,PJ Harvey,Catherine,245493
2023-12-11 12:27,PJ Harvey,A Perfect Day Elise,186106
2023-12-11 12:31,PJ Harvey,You Said Something,198733
2023-12-11 12:32,PJ Harvey,Joy,49648
2023-12-11 12:36,PJ Harvey,The River,292933
2023-12-11 12:41,PJ Harvey,This Is Love,1469
2023-12-11 12:41,PJ Harvey,The Wind,241493
2023-12-11 12:41,PJ Harvey,I Inside the Old I Dying,39693
2023-12-11 12:45,PJ Harvey,This Mess We're In,235840
2023-12-11 12:48,PJ Harvey,Down By The Water,194506
2023-12-11 12:49,PJ Harvey,I Inside the Old Year Dying,23925
2023-12-11 12:52,PJ Harvey,C'mon Billy,167600
2023-12-11 12:56,PJ Harvey,Good Fortune,200200
2023-12-11 12:56,PJ Harvey,"A Child's Question, August",5985
2023-12-11 13:11,Gordon Gano,Hitting the Ground,2860
2023-12-11 14:56,Camel,Supertwister,198680
2023-12-11 14:59,Focus,Janis,188106
2023-12-11 15:09,Genesis,Firth Of Fifth - Remastered 2008,574840
2023-12-11 15:10,Genesis,Aisle Of Plenty - Remastered 2008,27538
2023-12-11 15:10,Genesis,Time Table - Digital Remastered 2008,2643
2023-12-11 15:39,Premiata Forneria Marconi,River Of Life,2623
2023-12-11 16:01,Premiata Forneria Marconi,River Of Life,418481
2023-12-11 16:03,Camel,Freefall,46591
2023-12-11 16:03,"Emerson, Lake & Palmer",The Sheriff,1913
2023-12-11 16:06,Camel,Rhayader,181986
2023-12-11 16:08,Triumvirat,Million Dollars - Edit / Digital Remaster,155133
2023-12-11 16:09,"Emerson, Lake & Palmer",Trilogy,4662
